ID;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;nb_enfants;Nb_personnes_foyer;Age;Tenure;TotalMnt;TotalPurchases;AcceptedCmpTotal;Children;Is_Parent;Anciennete_mois;NumWebPurchasesMonth;Taux_conversion_web
5524;Graduation;Single;58138.0;0;0;58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;1;0;1;68;4502;1617;25;0;0;0;147.9;0.054090601757944556;0.77
2174;Graduation;Single;46344.0;1;1;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;0;2;3;71;3952;27;6;0;2;1;129.8;0.007704160246533127;0.15
4141;Graduation;Together;71613.0;0;0;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;0;0;2;60;4151;776;21;0;0;0;136.4;0.05865102639296187;1.47
6182;Graduation;Together;26646.0;1;0;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;0;1;3;41;3978;53;8;0;1;1;130.7;0.015302218821729153;0.26
5324;PhD;Married;58293.0;1;0;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;0;1;3;44;4000;422;19;0;1;1;131.4;0.0380517503805175;0.76
7446;Master;Together;62513.0;0;1;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;0;1;3;58;4132;716;22;0;1;1;135.7;0.044215180545320566;0.74
965;Graduation;Divorced;55635.0;0;1;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;0;1;2;54;4432;590;21;0;1;1;145.6;0.04807692307692308;0.8
6177;PhD;Married;33454.0;1;0;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;0;1;3;40;4256;169;10;0;1;1;139.8;0.028612303290414875;0.36
4855;PhD;Together;30351.0;1;0;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;1;1;3;51;4227;46;6;0;1;1;138.9;0.02159827213822894;0.24
5899;PhD;Together;5648.0;1;1;68;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;0;2;4;75;3947;49;2;1;2;1;129.7;0.007710100231303007;0.04
387;Basic;Married;7500.0;0;0;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;0;0;2;49;4432;61;6;0;0;0;145.6;0.013736263736263736;0.17
2125;Graduation;Divorced;63033.0;0;0;82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;0;0;1;66;4065;1102;16;0;0;0;133.5;0.02247191011235955;1.12
8180;Master;Divorced;59354.0;1;1;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;0;2;3;73;4065;310;15;0;2;1;133.5;0.0449438202247191;0.75
2569;Graduation;Married;17323.0;0;0;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;0;0;2;38;4466;46;5;0;0;0;146.7;0.00681663258350375;0.09
2114;PhD;Single;82800.0;0;0;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;1;0;1;79;4421;1315;26;2;0;0;145.2;0.048209366391184574;1.61
9736;Graduation;Married;41850.0;1;1;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;0;2;4;45;4391;96;9;0;2;1;144.3;0.020790020790020788;0.26
